,Unnamed: 0,id,Stance,uclmr,athene,solat,solat_tree,solat_deep,mix_solat_uclmr
6230,6230,6230,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
6235,6235,6235,agree,discuss,discuss,discuss,discuss,disagree,discuss
6240,6240,6240,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6245,6245,6245,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6250,6250,6250,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6255,6255,6255,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
6260,6260,6260,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6265,6265,6265,discuss,agree,discuss,agree,agree,agree,agree
6270,6270,6270,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6275,6275,6275,discuss,discuss,discuss,discuss,discuss,agree,discuss
6280,6280,6280,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
6285,6285,6285,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6290,6290,6290,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6295,6295,6295,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6300,6300,6300,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6305,6305,6305,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6310,6310,6310,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6315,6315,6315,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6320,6320,6320,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6325,6325,6325,discuss,agree,agree,agree,agree,agree,agree
6330,6330,6330,discuss,discuss,discuss,discuss,discuss,discuss,discuss
6335,6335,6335,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6340,6340,6340,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
6345,6345,6345,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6350,6350,6350,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6355,6355,6355,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6360,6360,6360,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
6365,6365,6365,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
6370,6370,6370,discuss,agree,agree,discuss,discuss,agree,discuss
6375,6375,6375,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6380,6380,6380,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6385,6385,6385,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6390,6390,6390,unrelated,discuss,unrelated,unrelated,unrelated,agree,unrelated
6395,6395,6395,discuss,discuss,discuss,discuss,discuss,agree,discuss
6400,6400,6400,discuss,discuss,discuss,discuss,discuss,discuss,discuss
6405,6405,6405,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6410,6410,6410,agree,discuss,discuss,agree,agree,agree,agree
6415,6415,6415,discuss,agree,agree,agree,agree,agree,agree
6420,6420,6420,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6425,6425,6425,disagree,agree,agree,agree,agree,agree,agree
6430,6430,6430,discuss,discuss,discuss,discuss,discuss,agree,discuss
6435,6435,6435,agree,discuss,discuss,agree,agree,agree,discuss
6440,6440,6440,discuss,discuss,discuss,discuss,discuss,discuss,discuss
6445,6445,6445,disagree,discuss,discuss,discuss,discuss,discuss,discuss
6450,6450,6450,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6455,6455,6455,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6460,6460,6460,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6465,6465,6465,discuss,discuss,discuss,discuss,discuss,agree,discuss
6470,6470,6470,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6475,6475,6475,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6480,6480,6480,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6485,6485,6485,discuss,discuss,discuss,discuss,discuss,agree,discuss
6490,6490,6490,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6495,6495,6495,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
6500,6500,6500,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6505,6505,6505,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6510,6510,6510,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6515,6515,6515,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6520,6520,6520,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6525,6525,6525,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6530,6530,6530,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6535,6535,6535,discuss,discuss,discuss,agree,agree,agree,agree
6540,6540,6540,agree,disagree,agree,agree,agree,disagree,agree
6545,6545,6545,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6550,6550,6550,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6555,6555,6555,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6560,6560,6560,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6565,6565,6565,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6570,6570,6570,discuss,discuss,discuss,discuss,discuss,agree,discuss
6575,6575,6575,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6580,6580,6580,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6585,6585,6585,discuss,agree,discuss,discuss,discuss,unrelated,discuss
6590,6590,6590,discuss,agree,unrelated,agree,discuss,agree,discuss
6595,6595,6595,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
6600,6600,6600,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6605,6605,6605,discuss,agree,discuss,discuss,discuss,agree,discuss
6610,6610,6610,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6615,6615,6615,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6620,6620,6620,agree,agree,agree,agree,agree,disagree,agree
6625,6625,6625,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6630,6630,6630,discuss,discuss,discuss,agree,agree,agree,agree
6635,6635,6635,discuss,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
6640,6640,6640,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6645,6645,6645,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6650,6650,6650,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6655,6655,6655,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6660,6660,6660,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6665,6665,6665,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6670,6670,6670,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6675,6675,6675,discuss,agree,agree,agree,agree,agree,agree
6680,6680,6680,discuss,discuss,discuss,agree,agree,unrelated,agree
6685,6685,6685,discuss,discuss,discuss,discuss,discuss,discuss,discuss
6690,6690,6690,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6695,6695,6695,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6700,6700,6700,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6705,6705,6705,agree,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6710,6710,6710,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6715,6715,6715,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
6720,6720,6720,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
6725,6725,6725,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
6730,6730,6730,discuss,discuss,discuss,discuss,discuss,discuss,discuss
6735,6735,6735,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
6740,6740,6740,discuss,discuss,discuss,discuss,discuss,discuss,discuss
6745,6745,6745,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6750,6750,6750,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6755,6755,6755,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6760,6760,6760,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6765,6765,6765,discuss,discuss,discuss,agree,agree,agree,agree
6770,6770,6770,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6775,6775,6775,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
6780,6780,6780,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6785,6785,6785,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6790,6790,6790,agree,discuss,agree,agree,discuss,agree,discuss
6795,6795,6795,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6800,6800,6800,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6805,6805,6805,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6810,6810,6810,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6815,6815,6815,discuss,discuss,discuss,discuss,discuss,discuss,discuss
6820,6820,6820,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6825,6825,6825,agree,agree,agree,discuss,discuss,agree,agree
6830,6830,6830,discuss,discuss,discuss,agree,agree,agree,agree
6835,6835,6835,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6840,6840,6840,agree,agree,discuss,discuss,discuss,disagree,discuss
6845,6845,6845,discuss,discuss,discuss,discuss,discuss,discuss,discuss
6850,6850,6850,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
6855,6855,6855,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6860,6860,6860,unrelated,unrelated,unrelated,discuss,discuss,agree,unrelated
6865,6865,6865,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6870,6870,6870,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6875,6875,6875,unrelated,discuss,unrelated,unrelated,unrelated,unrelated,unrelated
6880,6880,6880,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6885,6885,6885,agree,agree,agree,agree,agree,discuss,agree
6890,6890,6890,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6895,6895,6895,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6900,6900,6900,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6905,6905,6905,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6910,6910,6910,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6915,6915,6915,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
6920,6920,6920,agree,agree,agree,agree,agree,agree,agree
6925,6925,6925,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
6930,6930,6930,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6935,6935,6935,discuss,agree,discuss,discuss,discuss,unrelated,discuss
6940,6940,6940,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6945,6945,6945,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6950,6950,6950,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6955,6955,6955,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
6960,6960,6960,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6965,6965,6965,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
6970,6970,6970,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6975,6975,6975,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
6980,6980,6980,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6985,6985,6985,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6990,6990,6990,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
6995,6995,6995,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
7000,7000,7000,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7005,7005,7005,disagree,agree,unrelated,agree,agree,unrelated,agree
7010,7010,7010,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7015,7015,7015,disagree,discuss,discuss,discuss,discuss,agree,discuss
7020,7020,7020,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7025,7025,7025,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7030,7030,7030,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7035,7035,7035,unrelated,unrelated,discuss,unrelated,unrelated,agree,unrelated
7040,7040,7040,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7045,7045,7045,agree,agree,agree,agree,agree,agree,agree
7050,7050,7050,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7055,7055,7055,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7060,7060,7060,discuss,disagree,discuss,agree,agree,agree,agree
7065,7065,7065,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7070,7070,7070,unrelated,agree,unrelated,agree,agree,unrelated,agree
7075,7075,7075,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7080,7080,7080,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7085,7085,7085,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7090,7090,7090,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7095,7095,7095,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
7100,7100,7100,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7105,7105,7105,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
7110,7110,7110,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7115,7115,7115,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7120,7120,7120,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7125,7125,7125,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7130,7130,7130,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7135,7135,7135,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7140,7140,7140,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7145,7145,7145,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7150,7150,7150,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7155,7155,7155,discuss,discuss,discuss,discuss,discuss,disagree,discuss
7160,7160,7160,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7165,7165,7165,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7170,7170,7170,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7175,7175,7175,discuss,agree,agree,discuss,discuss,unrelated,agree
7180,7180,7180,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7185,7185,7185,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7190,7190,7190,discuss,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
7195,7195,7195,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7200,7200,7200,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7205,7205,7205,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
7210,7210,7210,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7215,7215,7215,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7220,7220,7220,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7225,7225,7225,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7230,7230,7230,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7235,7235,7235,unrelated,agree,unrelated,unrelated,unrelated,unrelated,unrelated
7240,7240,7240,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7245,7245,7245,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7250,7250,7250,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7255,7255,7255,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
7260,7260,7260,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7265,7265,7265,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7270,7270,7270,agree,discuss,unrelated,discuss,discuss,agree,discuss
7275,7275,7275,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
7280,7280,7280,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7285,7285,7285,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7290,7290,7290,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7295,7295,7295,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7300,7300,7300,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7305,7305,7305,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7310,7310,7310,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7315,7315,7315,discuss,discuss,discuss,discuss,discuss,agree,discuss
7320,7320,7320,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7325,7325,7325,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7330,7330,7330,discuss,discuss,discuss,discuss,discuss,agree,discuss
7335,7335,7335,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7340,7340,7340,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7345,7345,7345,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7350,7350,7350,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7355,7355,7355,discuss,discuss,discuss,discuss,discuss,agree,discuss
7360,7360,7360,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7365,7365,7365,disagree,unrelated,unrelated,discuss,discuss,unrelated,unrelated
7370,7370,7370,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7375,7375,7375,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7380,7380,7380,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7385,7385,7385,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7390,7390,7390,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7395,7395,7395,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7400,7400,7400,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7405,7405,7405,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7410,7410,7410,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7415,7415,7415,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7420,7420,7420,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7425,7425,7425,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7430,7430,7430,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7435,7435,7435,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7440,7440,7440,discuss,discuss,discuss,discuss,discuss,disagree,discuss
7445,7445,7445,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7450,7450,7450,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7455,7455,7455,disagree,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7460,7460,7460,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7465,7465,7465,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7470,7470,7470,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7475,7475,7475,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7480,7480,7480,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7485,7485,7485,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7490,7490,7490,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
7495,7495,7495,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7500,7500,7500,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7505,7505,7505,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
7510,7510,7510,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7515,7515,7515,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7520,7520,7520,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7525,7525,7525,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
7530,7530,7530,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7535,7535,7535,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7540,7540,7540,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7545,7545,7545,discuss,discuss,discuss,discuss,discuss,agree,discuss
7550,7550,7550,disagree,disagree,agree,discuss,discuss,unrelated,discuss
7555,7555,7555,agree,agree,agree,agree,agree,unrelated,agree
7560,7560,7560,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7565,7565,7565,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7570,7570,7570,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7575,7575,7575,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7580,7580,7580,discuss,discuss,discuss,discuss,discuss,agree,discuss
7585,7585,7585,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7590,7590,7590,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7595,7595,7595,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7600,7600,7600,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
7605,7605,7605,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7610,7610,7610,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7615,7615,7615,agree,discuss,agree,agree,agree,agree,agree
7620,7620,7620,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7625,7625,7625,agree,unrelated,unrelated,discuss,discuss,agree,discuss
7630,7630,7630,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7635,7635,7635,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7640,7640,7640,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7645,7645,7645,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7650,7650,7650,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7655,7655,7655,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7660,7660,7660,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7665,7665,7665,discuss,discuss,unrelated,discuss,discuss,agree,discuss
7670,7670,7670,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7675,7675,7675,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7680,7680,7680,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7685,7685,7685,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7690,7690,7690,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7695,7695,7695,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7700,7700,7700,disagree,discuss,discuss,unrelated,discuss,unrelated,discuss
7705,7705,7705,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7710,7710,7710,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7715,7715,7715,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7720,7720,7720,disagree,discuss,discuss,discuss,discuss,unrelated,discuss
7725,7725,7725,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7730,7730,7730,agree,discuss,agree,agree,agree,agree,agree
7735,7735,7735,unrelated,discuss,discuss,discuss,discuss,discuss,discuss
7740,7740,7740,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7745,7745,7745,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7750,7750,7750,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7755,7755,7755,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7760,7760,7760,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7765,7765,7765,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7770,7770,7770,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7775,7775,7775,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7780,7780,7780,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7785,7785,7785,agree,discuss,discuss,discuss,agree,discuss,agree
7790,7790,7790,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7795,7795,7795,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7800,7800,7800,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
7805,7805,7805,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7810,7810,7810,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7815,7815,7815,discuss,agree,agree,agree,agree,agree,agree
7820,7820,7820,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7825,7825,7825,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7830,7830,7830,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7835,7835,7835,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7840,7840,7840,agree,discuss,unrelated,agree,agree,agree,agree
7845,7845,7845,agree,discuss,agree,agree,agree,agree,agree
7850,7850,7850,agree,agree,agree,discuss,discuss,unrelated,discuss
7855,7855,7855,discuss,discuss,discuss,agree,agree,agree,agree
7860,7860,7860,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7865,7865,7865,agree,agree,discuss,discuss,discuss,disagree,discuss
7870,7870,7870,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7875,7875,7875,discuss,discuss,discuss,agree,agree,agree,discuss
7880,7880,7880,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7885,7885,7885,unrelated,unrelated,unrelated,discuss,discuss,discuss,unrelated
7890,7890,7890,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7895,7895,7895,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7900,7900,7900,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7905,7905,7905,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7910,7910,7910,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
