,Stance,solat,athene,uclmr,solat_tree,solat_deep,mix_solat_uclmr
7371,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
7372,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7373,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7374,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7376,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7377,discuss,agree,discuss,discuss,agree,disagree,agree
7378,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7379,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7381,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7382,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7383,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
7384,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7386,disagree,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7387,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7388,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7389,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7391,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7392,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7393,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7394,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7396,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7397,disagree,discuss,discuss,agree,discuss,agree,discuss
7398,discuss,agree,discuss,disagree,agree,agree,agree
7399,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7401,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7402,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7403,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7404,disagree,agree,agree,discuss,agree,unrelated,agree
7406,discuss,discuss,discuss,discuss,discuss,agree,discuss
7407,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7408,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7409,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7411,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7412,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7413,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7414,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7416,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7417,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7418,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7419,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7421,discuss,agree,discuss,discuss,agree,agree,agree
7422,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7423,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7424,unrelated,unrelated,unrelated,discuss,unrelated,unrelated,unrelated
7426,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7427,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7428,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7429,agree,discuss,discuss,discuss,discuss,discuss,discuss
7431,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7432,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7433,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7434,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7436,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7437,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7438,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7439,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7441,discuss,discuss,discuss,discuss,discuss,agree,discuss
7442,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7443,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7444,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7446,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7447,discuss,unrelated,discuss,discuss,agree,unrelated,agree
7448,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7449,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7451,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7452,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7453,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7454,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7456,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7457,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7458,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7459,disagree,agree,unrelated,discuss,agree,agree,agree
7461,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7462,unrelated,discuss,discuss,discuss,discuss,unrelated,discuss
7463,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7464,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7466,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7467,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7468,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
7469,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7471,discuss,agree,discuss,agree,discuss,agree,discuss
7472,discuss,agree,discuss,discuss,agree,agree,agree
7473,agree,agree,agree,agree,agree,unrelated,agree
7474,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7476,discuss,discuss,discuss,discuss,discuss,agree,discuss
7477,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7478,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7479,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7481,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7482,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7483,discuss,agree,discuss,discuss,discuss,agree,discuss
7484,discuss,discuss,discuss,agree,discuss,discuss,discuss
7486,agree,agree,discuss,discuss,agree,agree,agree
7487,disagree,discuss,agree,discuss,discuss,unrelated,discuss
7488,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7489,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7491,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7492,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7493,discuss,agree,discuss,discuss,agree,agree,agree
7494,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7496,discuss,discuss,unrelated,agree,discuss,disagree,discuss
7497,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7498,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7499,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7501,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
7502,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7503,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7504,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7506,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7507,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7508,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7509,discuss,agree,discuss,discuss,agree,agree,agree
7511,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7512,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7513,discuss,unrelated,discuss,unrelated,agree,unrelated,unrelated
7514,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7516,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7517,disagree,discuss,agree,agree,discuss,agree,discuss
7518,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7519,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7521,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7522,agree,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7523,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7524,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7526,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7527,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7528,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7529,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7531,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7532,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7533,discuss,agree,discuss,discuss,agree,agree,agree
7534,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7536,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7537,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7538,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
7539,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7541,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7542,discuss,agree,unrelated,discuss,agree,agree,agree
7543,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7544,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7546,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7547,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7548,discuss,discuss,discuss,discuss,discuss,disagree,discuss
7549,discuss,discuss,disagree,discuss,discuss,agree,discuss
7551,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7552,discuss,agree,agree,agree,agree,unrelated,agree
7553,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7554,discuss,discuss,discuss,discuss,discuss,agree,discuss
7556,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7557,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7558,disagree,agree,agree,discuss,discuss,agree,discuss
7559,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7561,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7562,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7563,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7564,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7566,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7567,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7568,disagree,agree,discuss,discuss,agree,unrelated,agree
7569,discuss,unrelated,discuss,disagree,unrelated,unrelated,discuss
7571,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
7572,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7573,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7574,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7576,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7577,discuss,discuss,discuss,discuss,discuss,agree,discuss
7578,unrelated,discuss,unrelated,unrelated,discuss,unrelated,discuss
7579,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7581,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7582,disagree,discuss,unrelated,discuss,discuss,unrelated,discuss
7583,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
7584,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7586,discuss,discuss,discuss,discuss,discuss,agree,discuss
7587,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7588,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7589,agree,agree,agree,discuss,agree,agree,agree
7591,discuss,unrelated,discuss,agree,agree,unrelated,agree
7592,discuss,agree,discuss,agree,agree,agree,agree
7593,disagree,agree,agree,discuss,agree,agree,discuss
7594,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7596,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7597,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7598,discuss,unrelated,unrelated,discuss,unrelated,unrelated,unrelated
7599,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7601,discuss,agree,discuss,discuss,discuss,agree,discuss
7602,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7603,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7604,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7606,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7607,discuss,discuss,agree,agree,discuss,agree,discuss
7608,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7609,agree,agree,agree,discuss,discuss,agree,discuss
7611,discuss,agree,discuss,discuss,agree,agree,agree
7612,disagree,discuss,discuss,discuss,discuss,unrelated,discuss
7613,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7614,disagree,discuss,discuss,agree,discuss,disagree,discuss
7616,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7617,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7618,agree,agree,agree,agree,discuss,agree,agree
7619,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7621,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7622,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
7623,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7624,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7626,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7627,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7628,discuss,agree,discuss,discuss,agree,agree,agree
7629,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7631,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7632,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7633,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7634,discuss,discuss,agree,agree,discuss,unrelated,discuss
7636,discuss,agree,agree,discuss,discuss,agree,discuss
7637,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7638,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7639,agree,agree,agree,discuss,agree,agree,discuss
7641,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7642,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7643,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7644,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7646,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7647,agree,agree,discuss,discuss,agree,agree,agree
7648,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7649,unrelated,discuss,unrelated,unrelated,discuss,unrelated,discuss
7651,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7652,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
7653,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7654,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7656,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7657,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7658,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7659,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7661,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7662,disagree,agree,discuss,discuss,agree,unrelated,agree
7663,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7664,disagree,agree,discuss,discuss,discuss,agree,discuss
7666,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7667,unrelated,discuss,unrelated,discuss,unrelated,discuss,discuss
7668,discuss,discuss,discuss,discuss,discuss,agree,discuss
7669,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7671,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7672,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7673,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7674,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7676,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7677,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7678,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7679,discuss,agree,discuss,agree,agree,unrelated,agree
7681,agree,discuss,agree,discuss,discuss,agree,discuss
7682,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7683,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7684,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7686,discuss,discuss,discuss,discuss,discuss,unrelated,discuss
7687,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7688,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7689,agree,agree,agree,agree,agree,agree,agree
7691,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7692,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7693,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7694,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7696,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7697,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7698,discuss,discuss,discuss,discuss,discuss,agree,discuss
7699,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7701,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7702,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7703,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7704,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7706,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7707,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7708,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7709,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7711,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7712,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
7713,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7714,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7716,agree,discuss,unrelated,discuss,discuss,agree,discuss
7717,discuss,discuss,discuss,discuss,discuss,agree,discuss
7718,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7719,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7721,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7722,discuss,discuss,discuss,discuss,discuss,agree,discuss
7723,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7724,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7726,agree,agree,agree,agree,agree,agree,agree
7727,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7728,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7729,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
7731,discuss,unrelated,discuss,agree,discuss,unrelated,discuss
7732,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7733,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7734,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7736,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7737,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7738,discuss,discuss,agree,agree,discuss,agree,agree
7739,discuss,discuss,discuss,discuss,discuss,agree,discuss
7741,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7742,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7743,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7744,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7746,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
7747,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7748,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7749,discuss,discuss,unrelated,unrelated,discuss,discuss,discuss
7751,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7752,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7753,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7754,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7756,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7757,agree,discuss,discuss,discuss,discuss,discuss,discuss
7758,discuss,discuss,discuss,discuss,discuss,agree,discuss
7759,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7761,discuss,agree,discuss,discuss,agree,disagree,discuss
7762,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
7763,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7764,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7766,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7767,agree,discuss,discuss,agree,discuss,discuss,discuss
7768,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7769,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7771,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7772,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7773,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7774,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7776,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7777,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7778,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7779,unrelated,discuss,discuss,discuss,discuss,discuss,discuss
7781,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7782,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7783,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7784,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
7786,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7787,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7788,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7789,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7791,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
7792,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7793,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7794,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7796,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7797,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7798,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7799,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7801,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
7802,discuss,agree,discuss,agree,agree,agree,agree
7803,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7804,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7806,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7807,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7808,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7809,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7811,disagree,discuss,discuss,discuss,discuss,agree,discuss
7812,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7813,discuss,discuss,discuss,discuss,discuss,agree,discuss
7814,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7816,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7817,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7818,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7819,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7821,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7822,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7823,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7824,disagree,agree,agree,discuss,agree,agree,agree
7826,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7827,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
7828,unrelated,unrelated,unrelated,unrelated,unrelated,disagree,unrelated
7829,unrelated,discuss,unrelated,unrelated,discuss,discuss,unrelated
7831,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7832,discuss,agree,disagree,discuss,agree,agree,discuss
7833,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7834,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7836,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7837,discuss,discuss,disagree,agree,discuss,agree,agree
7838,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7839,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7841,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7842,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7843,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7844,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7846,unrelated,unrelated,unrelated,unrelated,unrelated,agree,unrelated
7847,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7848,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7849,unrelated,unrelated,unrelated,unrelated,unrelated,discuss,unrelated
7851,discuss,agree,agree,agree,agree,unrelated,agree
7852,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7853,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7854,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7856,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7857,agree,agree,agree,agree,agree,agree,agree
7858,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7859,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
7861,discuss,discuss,discuss,discuss,discuss,discuss,discuss
7862,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated,unrelated
